emoji,short_name,codepoints,keywords,category,subcategory,sort_order
🤘🏼,sign_of_the_horns_medium_light_skin_tone,1F918 1F3FC,sign of the horns medium light skin tone,People & Body,hand-fingers-partial,282
🤘🏽,sign_of_the_horns_medium_skin_tone,1F918 1F3FD,sign of the horns medium skin tone,People & Body,hand-fingers-partial,283
🤘🏾,sign_of_the_horns_medium_dark_skin_tone,1F918 1F3FE,sign of the horns medium dark skin tone,People & Body,hand-fingers-partial,284
🤘🏿,sign_of_the_horns_dark_skin_tone,1F918 1F3FF,sign of the horns dark skin tone,People & Body,hand-fingers-partial,285
🤙,call_me_hand,1F919,call me hand,People & Body,hand-fingers-partial,286
🤙🏻,call_me_hand_light_skin_tone,1F919 1F3FB,call me hand light skin tone,People & Body,hand-fingers-partial,287
🤙🏼,call_me_hand_medium_light_skin_tone,1F919 1F3FC,call me hand medium light skin tone,People & Body,hand-fingers-partial,288
🤙🏽,call_me_hand_medium_skin_tone,1F919 1F3FD,call me hand medium skin tone,People & Body,hand-fingers-partial,289
🤙🏾,call_me_hand_medium_dark_skin_tone,1F919 1F3FE,call me hand medium dark skin tone,People & Body,hand-fingers-partial,290
🤙🏿,call_me_hand_dark_skin_tone,1F919 1F3FF,call me hand dark skin tone,People & Body,hand-fingers-partial,291
👈️,backhand_index_pointing_left,1F448 FE0F,backhand index pointing left,People & Body,hand-single-finger,292
👈🏻,backhand_index_pointing_left_light_skin_tone,1F448 1F3FB,backhand index pointing left light skin tone,People & Body,hand-single-finger,293
👈🏼,backhand_index_pointing_left_medium_light_skin_tone,1F448 1F3FC,backhand index pointing left medium light skin tone,People & Body,hand-single-finger,294
👈🏽,backhand_index_pointing_left_medium_skin_tone,1F448 1F3FD,backhand index pointing left medium skin tone,People & Body,hand-single-finger,295
👈🏾,backhand_index_pointing_left_medium_dark_skin_tone,1F448 1F3FE,backhand index pointing left medium dark skin tone,People & Body,hand-single-finger,296
👈🏿,backhand_index_pointing_left_dark_skin_tone,1F448 1F3FF,backhand index pointing left dark skin tone,People & Body,hand-single-finger,297
👉️,backhand_index_pointing_right,1F449 FE0F,backhand index pointing right,People & Body,hand-single-finger,298
👉🏻,backhand_index_pointing_right_light_skin_tone,1F449 1F3FB,backhand index pointing right light skin tone,People & Body,hand-single-finger,299
👉🏼,backhand_index_pointing_right_medium_light_skin_tone,1F449 1F3FC,backhand index pointing right medium light skin tone,People & Body,hand-single-finger,300
👉🏽,backhand_index_pointing_right_medium_skin_tone,1F449 1F3FD,backhand index pointing right medium skin tone,People & Body,hand-single-finger,301
👉🏾,backhand_index_pointing_right_medium_dark_skin_tone,1F449 1F3FE,backhand index pointing right medium dark skin tone,People & Body,hand-single-finger,302
👉🏿,backhand_index_pointing_right_dark_skin_tone,1F449 1F3FF,backhand index pointing right dark skin tone,People & Body,hand-single-finger,303
👆️,backhand_index_pointing_up,1F446 FE0F,backhand index pointing up,People & Body,hand-single-finger,304
👆🏻,backhand_index_pointing_up_light_skin_tone,1F446 1F3FB,backhand index pointing up light skin tone,People & Body,hand-single-finger,305
👆🏼,backhand_index_pointing_up_medium_light_skin_tone,1F446 1F3FC,backhand index pointing up medium light skin tone,People & Body,hand-single-finger,306
👆🏽,backhand_index_pointing_up_medium_skin_tone,1F446 1F3FD,backhand index pointing up medium skin tone,People & Body,hand-single-finger,307
👆🏾,backhand_index_pointing_up_medium_dark_skin_tone,1F446 1F3FE,backhand index pointing up medium dark skin tone,People & Body,hand-single-finger,308
👆🏿,backhand_index_pointing_up_dark_skin_tone,1F446 1F3FF,backhand index pointing up dark skin tone,People & Body,hand-single-finger,309
🖕,middle_finger,1F595,middle finger,People & Body,hand-single-finger,310
🖕🏻,middle_finger_light_skin_tone,1F595 1F3FB,middle finger light skin tone,People & Body,hand-single-finger,311
🖕🏼,middle_finger_medium_light_skin_tone,1F595 1F3FC,middle finger medium light skin tone,People & Body,hand-single-finger,312
🖕🏽,middle_finger_medium_skin_tone,1F595 1F3FD,middle finger medium skin tone,People & Body,hand-single-finger,313
🖕🏾,middle_finger_medium_dark_skin_tone,1F595 1F3FE,middle finger medium dark skin tone,People & Body,hand-single-finger,314
🖕🏿,middle_finger_dark_skin_tone,1F595 1F3FF,middle finger dark skin tone,People & Body,hand-single-finger,315
👇️,backhand_index_pointing_down,1F447 FE0F,backhand index pointing down,People & Body,hand-single-finger,316
👇🏻,backhand_index_pointing_down_light_skin_tone,1F447 1F3FB,backhand index pointing down light skin tone,People & Body,hand-single-finger,317
👇🏼,backhand_index_pointing_down_medium_light_skin_tone,1F447 1F3FC,backhand index pointing down medium light skin tone,People & Body,hand-single-finger,318
👇🏽,backhand_index_pointing_down_medium_skin_tone,1F447 1F3FD,backhand index pointing down medium skin tone,People & Body,hand-single-finger,319
👇🏾,backhand_index_pointing_down_medium_dark_skin_tone,1F447 1F3FE,backhand index pointing down medium dark skin tone,People & Body,hand-single-finger,320
👇🏿,backhand_index_pointing_down_dark_skin_tone,1F447 1F3FF,backhand index pointing down dark skin tone,People & Body,hand-single-finger,321
☝️,index_pointing_up,261D FE0F,index pointing up,People & Body,hand-single-finger,322
☝🏻,index_pointing_up_light_skin_tone,261D 1F3FB,index pointing up light skin tone,People & Body,hand-single-finger,323
☝🏼,index_pointing_up_medium_light_skin_tone,261D 1F3FC,index pointing up medium light skin tone,People & Body,hand-single-finger,324
☝🏽,index_pointing_up_medium_skin_tone,261D 1F3FD,index pointing up medium skin tone,People & Body,hand-single-finger,325
☝🏾,index_pointing_up_medium_dark_skin_tone,261D 1F3FE,index pointing up medium dark skin tone,People & Body,hand-single-finger,326
☝🏿,index_pointing_up_dark_skin_tone,261D 1F3FF,index pointing up dark skin tone,People & Body,hand-single-finger,327
🫵,index_pointing_at_the_viewer,1FAF5,index pointing at the viewer,People & Body,hand-single-finger,328
🫵🏻,index_pointing_at_the_viewer_light_skin_tone,1FAF5 1F3FB,index pointing at the viewer light skin tone,People & Body,hand-single-finger,329
🫵🏼,index_pointing_at_the_viewer_medium_light_skin_tone,1FAF5 1F3FC,index pointing at the viewer medium light skin tone,People & Body,hand-single-finger,330
🫵🏽,index_pointing_at_the_viewer_medium_skin_tone,1FAF5 1F3FD,index pointing at the viewer medium skin tone,People & Body,hand-single-finger,331
🫵🏾,index_pointing_at_the_viewer_medium_dark_skin_tone,1FAF5 1F3FE,index pointing at the viewer medium dark skin tone,People & Body,hand-single-finger,332
🫵🏿,index_pointing_at_the_viewer_dark_skin_tone,1FAF5 1F3FF,index pointing at the viewer dark skin tone,People & Body,hand-single-finger,333
👍️,thumbs_up,1F44D FE0F,thumbs up,People & Body,hand-fingers-closed,334
👍🏻,thumbs_up_light_skin_tone,1F44D 1F3FB,thumbs up light skin tone,People & Body,hand-fingers-closed,335
👍🏼,thumbs_up_medium_light_skin_tone,1F44D 1F3FC,thumbs up medium light skin tone,People & Body,hand-fingers-closed,336
👍🏽,thumbs_up_medium_skin_tone,1F44D 1F3FD,thumbs up medium skin tone,People & Body,hand-fingers-closed,337
👍🏾,thumbs_up_medium_dark_skin_tone,1F44D 1F3FE,thumbs up medium dark skin tone,People & Body,hand-fingers-closed,338
👍🏿,thumbs_up_dark_skin_tone,1F44D 1F3FF,thumbs up dark skin tone,People & Body,hand-fingers-closed,339
👎️,thumbs_down,1F44E FE0F,thumbs down,People & Body,hand-fingers-closed,340
👎🏻,thumbs_down_light_skin_tone,1F44E 1F3FB,thumbs down light skin tone,People & Body,hand-fingers-closed,341
👎🏼,thumbs_down_medium_light_skin_tone,1F44E 1F3FC,thumbs down medium light skin tone,People & Body,hand-fingers-closed,342
👎🏽,thumbs_down_medium_skin_tone,1F44E 1F3FD,thumbs down medium skin tone,People & Body,hand-fingers-closed,343
👎🏾,thumbs_down_medium_dark_skin_tone,1F44E 1F3FE,thumbs down medium dark skin tone,People & Body,hand-fingers-closed,344
👎🏿,thumbs_down_dark_skin_tone,1F44E 1F3FF,thumbs down dark skin tone,People & Body,hand-fingers-closed,345
✊️,raised_fist,270A FE0F,raised fist,People & Body,hand-fingers-closed,346
✊🏻,raised_fist_light_skin_tone,270A 1F3FB,raised fist light skin tone,People & Body,hand-fingers-closed,347
✊🏼,raised_fist_medium_light_skin_tone,270A 1F3FC,raised fist medium light skin tone,People & Body,hand-fingers-closed,348
✊🏽,raised_fist_medium_skin_tone,270A 1F3FD,raised fist medium skin tone,People & Body,hand-fingers-closed,349
✊🏾,raised_fist_medium_dark_skin_tone,270A 1F3FE,raised fist medium dark skin tone,People & Body,hand-fingers-closed,350
✊🏿,raised_fist_dark_skin_tone,270A 1F3FF,raised fist dark skin tone,People & Body,hand-fingers-closed,351
👊,oncoming_fist,1F44A,oncoming fist,People & Body,hand-fingers-closed,352
👊🏻,oncoming_fist_light_skin_tone,1F44A 1F3FB,oncoming fist light skin tone,People & Body,hand-fingers-closed,353
👊🏼,oncoming_fist_medium_light_skin_tone,1F44A 1F3FC,oncoming fist medium light skin tone,People & Body,hand-fingers-closed,354
👊🏽,oncoming_fist_medium_skin_tone,1F44A 1F3FD,oncoming fist medium skin tone,People & Body,hand-fingers-closed,355
👊🏾,oncoming_fist_medium_dark_skin_tone,1F44A 1F3FE,oncoming fist medium dark skin tone,People & Body,hand-fingers-closed,356
👊🏿,oncoming_fist_dark_skin_tone,1F44A 1F3FF,oncoming fist dark skin tone,People & Body,hand-fingers-closed,357
🤛,left_facing_fist,1F91B,left facing fist,People & Body,hand-fingers-closed,358
🤛🏻,left_facing_fist_light_skin_tone,1F91B 1F3FB,left facing fist light skin tone,People & Body,hand-fingers-closed,359
🤛🏼,left_facing_fist_medium_light_skin_tone,1F91B 1F3FC,left facing fist medium light skin tone,People & Body,hand-fingers-closed,360
🤛🏽,left_facing_fist_medium_skin_tone,1F91B 1F3FD,left facing fist medium skin tone,People & Body,hand-fingers-closed,361
🤛🏾,left_facing_fist_medium_dark_skin_tone,1F91B 1F3FE,left facing fist medium dark skin tone,People & Body,hand-fingers-closed,362
🤛🏿,left_facing_fist_dark_skin_tone,1F91B 1F3FF,left facing fist dark skin tone,People & Body,hand-fingers-closed,363
🤜,right_facing_fist,1F91C,right facing fist,People & Body,hand-fingers-closed,364
🤜🏻,right_facing_fist_light_skin_tone,1F91C 1F3FB,right facing fist light skin tone,People & Body,hand-fingers-closed,365
🤜🏼,right_facing_fist_medium_light_skin_tone,1F91C 1F3FC,right facing fist medium light skin tone,People & Body,hand-fingers-closed,366
🤜🏽,right_facing_fist_medium_skin_tone,1F91C 1F3FD,right facing fist medium skin tone,People & Body,hand-fingers-closed,367
🤜🏾,right_facing_fist_medium_dark_skin_tone,1F91C 1F3FE,right facing fist medium dark skin tone,People & Body,hand-fingers-closed,368
🤜🏿,right_facing_fist_dark_skin_tone,1F91C 1F3FF,right facing fist dark skin tone,People & Body,hand-fingers-closed,369
👏,clapping_hands,1F44F,clapping hands,People & Body,hands,370
👏🏻,clapping_hands_light_skin_tone,1F44F 1F3FB,clapping hands light skin tone,People & Body,hands,371
👏🏼,clapping_hands_medium_light_skin_tone,1F44F 1F3FC,clapping hands medium light skin tone,People & Body,hands,372
👏🏽,clapping_hands_medium_skin_tone,1F44F 1F3FD,clapping hands medium skin tone,People & Body,hands,373
👏🏾,clapping_hands_medium_dark_skin_tone,1F44F 1F3FE,clapping hands medium dark skin tone,People & Body,hands,374
👏🏿,clapping_hands_dark_skin_tone,1F44F 1F3FF,clapping hands dark skin tone,People & Body,hands,375
🙌,raising_hands,1F64C,raising hands,People & Body,hands,376
🙌🏻,raising_hands_light_skin_tone,1F64C 1F3FB,raising hands light skin tone,People & Body,hands,377
🙌🏼,raising_hands_medium_light_skin_tone,1F64C 1F3FC,raising hands medium light skin tone,People & Body,hands,378
🙌🏽,raising_hands_medium_skin_tone,1F64C 1F3FD,raising hands medium skin tone,People & Body,hands,379
🙌🏾,raising_hands_medium_dark_skin_tone,1F64C 1F3FE,raising hands medium dark skin tone,People & Body,hands,380
🙌🏿,raising_hands_dark_skin_tone,1F64C 1F3FF,raising hands dark skin tone,People & Body,hands,381
🫶,heart_hands,1FAF6,heart hands,People & Body,hands,382
🫶🏻,heart_hands_light_skin_tone,1FAF6 1F3FB,heart hands light skin tone,People & Body,hands,383
🫶🏼,heart_hands_medium_light_skin_tone,1FAF6 1F3FC,heart hands medium light skin tone,People & Body,hands,384
🫶🏽,heart_hands_medium_skin_tone,1FAF6 1F3FD,heart hands medium skin tone,People & Body,hands,385
🫶🏾,heart_hands_medium_dark_skin_tone,1FAF6 1F3FE,heart hands medium dark skin tone,People & Body,hands,386
🫶🏿,heart_hands_dark_skin_tone,1FAF6 1F3FF,heart hands dark skin tone,People & Body,hands,387
👐,open_hands,1F450,open hands,People & Body,hands,388
👐🏻,open_hands_light_skin_tone,1F450 1F3FB,open hands light skin tone,People & Body,hands,389
👐🏼,open_hands_medium_light_skin_tone,1F450 1F3FC,open hands medium light skin tone,People & Body,hands,390
👐🏽,open_hands_medium_skin_tone,1F450 1F3FD,open hands medium skin tone,People & Body,hands,391
👐🏾,open_hands_medium_dark_skin_tone,1F450 1F3FE,open hands medium dark skin tone,People & Body,hands,392
👐🏿,open_hands_dark_skin_tone,1F450 1F3FF,open hands dark skin tone,People & Body,hands,393
🤲,palms_up_together,1F932,palms up together,People & Body,hands,394
🤲🏻,palms_up_together_light_skin_tone,1F932 1F3FB,palms up together light skin tone,People & Body,hands,395
🤲🏼,palms_up_together_medium_light_skin_tone,1F932 1F3FC,palms up together medium light skin tone,People & Body,hands,396
🤲🏽,palms_up_together_medium_skin_tone,1F932 1F3FD,palms up together medium skin tone,People & Body,hands,397
🤲🏾,palms_up_together_medium_dark_skin_tone,1F932 1F3FE,palms up together medium dark skin tone,People & Body,hands,398
🤲🏿,palms_up_together_dark_skin_tone,1F932 1F3FF,palms up together dark skin tone,People & Body,hands,399
🤝,handshake,1F91D,handshake,People & Body,hands,400
🤝🏻,handshake_light_skin_tone,1F91D 1F3FB,handshake light skin tone,People & Body,hands,401
🤝🏼,handshake_medium_light_skin_tone,1F91D 1F3FC,handshake medium light skin tone,People & Body,hands,402
🤝🏽,handshake_medium_skin_tone,1F91D 1F3FD,handshake medium skin tone,People & Body,hands,403
🤝🏾,handshake_medium_dark_skin_tone,1F91D 1F3FE,handshake medium dark skin tone,People & Body,hands,404
🤝🏿,handshake_dark_skin_tone,1F91D 1F3FF,handshake dark skin tone,People & Body,hands,405
🫱🏻‍🫲🏼,handshake_light_skin_tone_medium_light_skin_tone,1FAF1 1F3FB 200D 1FAF2 1F3FC,handshake light skin tone medium,People & Body,hands,406
🫱🏻‍🫲🏽,handshake_light_skin_tone_medium_skin_tone,1FAF1 1F3FB 200D 1FAF2 1F3FD,handshake light skin tone medium,People & Body,hands,407
🫱🏻‍🫲🏾,handshake_light_skin_tone_medium_dark_skin_tone,1FAF1 1F3FB 200D 1FAF2 1F3FE,handshake light skin tone medium dark,People & Body,hands,408
🫱🏻‍🫲🏿,handshake_light_skin_tone_dark_skin_tone,1FAF1 1F3FB 200D 1FAF2 1F3FF,handshake light skin tone dark,People & Body,hands,409
🫱🏼‍🫲🏻,handshake_medium_light_skin_tone_light_skin_tone,1FAF1 1F3FC 200D 1FAF2 1F3FB,handshake medium light skin tone,People & Body,hands,410
🫱🏼‍🫲🏽,handshake_medium_light_skin_tone_medium_skin_tone,1FAF1 1F3FC 200D 1FAF2 1F3FD,handshake medium light skin tone,People & Body,hands,411
🫱🏼‍🫲🏾,handshake_medium_light_skin_tone_medium_dark_skin_tone,1FAF1 1F3FC 200D 1FAF2 1F3FE,handshake medium light skin tone dark,People & Body,hands,412
🫱🏼‍🫲🏿,handshake_medium_light_skin_tone_dark_skin_tone,1FAF1 1F3FC 200D 1FAF2 1F3FF,handshake medium light skin tone dark,People & Body,hands,413
🫱🏽‍🫲🏻,handshake_medium_skin_tone_light_skin_tone,1FAF1 1F3FD 200D 1FAF2 1F3FB,handshake medium skin tone light,People & Body,hands,414
🫱🏽‍🫲🏼,handshake_medium_skin_tone_medium_light_skin_tone,1FAF1 1F3FD 200D 1FAF2 1F3FC,handshake medium skin tone light,People & Body,hands,415
🫱🏽‍🫲🏾,handshake_medium_skin_tone_medium_dark_skin_tone,1FAF1 1F3FD 200D 1FAF2 1F3FE,handshake medium skin tone dark,People & Body,hands,416
🫱🏽‍🫲🏿,handshake_medium_skin_tone_dark_skin_tone,1FAF1 1F3FD 200D 1FAF2 1F3FF,handshake medium skin tone dark,People & Body,hands,417
🫱🏾‍🫲🏻,handshake_medium_dark_skin_tone_light_skin_tone,1FAF1 1F3FE 200D 1FAF2 1F3FB,handshake medium dark skin tone light,People & Body,hands,418
🫱🏾‍🫲🏼,handshake_medium_dark_skin_tone_medium_light_skin_tone,1FAF1 1F3FE 200D 1FAF2 1F3FC,handshake medium dark skin tone light,People & Body,hands,419
🫱🏾‍🫲🏽,handshake_medium_dark_skin_tone_medium_skin_tone,1FAF1 1F3FE 200D 1FAF2 1F3FD,handshake medium dark skin tone,People & Body,hands,420
🫱🏾‍🫲🏿,handshake_medium_dark_skin_tone_dark_skin_tone,1FAF1 1F3FE 200D 1FAF2 1F3FF,handshake medium dark skin tone,People & Body,hands,421
🫱🏿‍🫲🏻,handshake_dark_skin_tone_light_skin_tone,1FAF1 1F3FF 200D 1FAF2 1F3FB,handshake dark skin tone light,People & Body,hands,422
🫱🏿‍🫲🏼,handshake_dark_skin_tone_medium_light_skin_tone,1FAF1 1F3FF 200D 1FAF2 1F3FC,handshake dark skin tone medium light,People & Body,hands,423
🫱🏿‍🫲🏽,handshake_dark_skin_tone_medium_skin_tone,1FAF1 1F3FF 200D 1FAF2 1F3FD,handshake dark skin tone medium,People & Body,hands,424
